データ項目,smart-data-models,説明,データモデル,参照元ドキュメント,参照元JSON Schema,備考
ID,Id,ID,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
ブランド,network,ガソリンや水素を提供するブランド名,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
事業所名,Name,事業所の名称,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,Name→name
別名,alternateName,事業所の愛称など別称があるときに記入,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
説明,description ,サービス内容などを記入,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
利用可能曜日,availableDays,利用可能な曜日を記入,ガソリンスタンド・水素ステーション,,,
開店時間,openingHours,開店時間を記入,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
閉店時間,openingHours,閉店時間を記入,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
住所,address,住所情報（住所型）,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
対象車種,allowedVehicleType,普通車、大型バス、○トン未満のトラック,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
利用可能車両数,availableCapacity,現在利用可能な車両数,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
最大車両数,capacity,同時に供給可能な車両数,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
燃料,FuelType,供給可能な燃料の種類を記入,ガソリンスタンド・水素ステーション,,,FuelType→fuelType ? 該当項目名、smart-data-modelsでは未定義
支払方法,acceptedPaymentMethod,支払い方法を列挙,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
連絡先,contactPoint,連絡先情報を記入,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
データ更新日,dateModified,データを更新した日を記入,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
運営者,operator,ブランドを運営する事業者を記入,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
所有者,owner,事業所の所有者を記入,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
状況,status,施設の状況を記入,ガソリンスタンド・水素ステーション,https://github.com/smart-data-models/dataModel.Transportation/blob/master/EVChargingStation/doc/spec_JA.md,https://smart-data-models.github.io/dataModel.Transportation/EVChargingStation/schema.json,
